"cellcode","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio1_annual_temp_dC","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio15_coefvar_prec","bio4_sd_temp"
"50kmE445N150",0.430765069904737,1.66582571109757,0.244752876460552,0.389345339499414,0,0,0,0,0,0.0180740578798577,97.2512364387512,18.6448287963867,24.6259460449219,549.774536132812,70.6953735351562,434.451599121094
"50kmE450N150",0.171551527455449,2.0498952944763,0.9231798350811,0.335106998682022,0.0239881366724148,0,0,0,0,0,96.4962780475616,18.6174755096436,24.4952697753906,523.146179199219,72.7775726318359,428.392578125
"50kmE470N150",1.81174072640715,21.3272446620976,0.639407796552405,0.545723550021648,0,0,0,0,0,0,75.6758809089661,18.3928890228271,24.4469776153564,537.045776367188,81.2632827758789,447.922271728516
"50kmE475N150",1.56068281503394,23.5723961610347,0.465203531348379,1.11257005482912,0.0675295421388,0,0,0.0783676165156066,0,0,73.1432482949458,18.5677719116211,24.8782367706299,546.412780761719,76.9504928588867,465.107330322266
"50kmE285N155",0.247543965815567,1.85997746884823,0.735836592502892,0.908632011851296,0.137848017038777,0,0,0,0,0,96.1101591587067,17.9922561645508,22.6683616638184,695.666625976562,76.423225402832,340.258056640625
"50kmE290N155",3.29733331163879,7.17544416802411,6.21506064198911,7.33707356266678,0.162123417248949,0,0,0.0375651841750368,0,0.0326223962474614,75.7427752017975,17.6313896179199,22.4480400085449,700.952392578125,76.3986587524414,349.025329589844
"50kmE460N155",2.14641426719026,17.7149136492517,0.785602116957306,0.669005513191223,2.20186236547306,0.0212464961805381,0,0,0.0321288476698101,0.0191736660781316,76.4096558094025,18.0822792053223,24.3291091918945,559.692749023438,72.7703399658203,468.634429931641
"50kmE465N155",1.77599996895879,52.6032002177089,0.93999995442573,2.54319990053772,1.95760002825409,0.0119999996968545,0,0,0.256399996578693,0.11399999493733,39.7976011037827,17.3011856079102,24.2529525756836,504.752319335938,66.9050598144531,527.457336425781
"50kmE470N155",2.81199993332848,73.0768008157611,8.26799971982837,6.98120011948049,1.90080008178484,0,0,0,0.228799995966256,0.193599995691329,6.53880015015602,16.5765171051025,23.9915637969971,594.279602050781,66.8794403076172,561.2978515625
"50kmE475N155",4.7655999471317,50.3343998338095,5.42840019334107,9.29960012435913,5.88280006195418,0,0,0.0508000026457012,0.0344000000040978,0.428400002419949,23.7755998969078,17.3865699768066,24.8388729095459,624.102844238281,70.0468063354492,555.699584960938
"50kmE635N155",1.12576022511352,2.86328415386379,0.0323494314216077,2.37157277297228,0.554972456302494,0,0,0,0,0,93.0520594120026,20.0741329193115,25.978702545166,457.454040527344,102.533432006836,450.19287109375
"50kmE640N155",0.685582810547203,0.187116558663547,0,1.20015339925885,0.526840507518501,1.42840883367887e-14,0,0.385736185126007,0,0,97.0145702362061,20.2835884094238,26.27366065979,518.319946289062,107.81428527832,457.107391357422
"50kmE285N160",4.46842900128104,35.5624547868501,5.83083323435858,4.9469594261609,0.275456625968218,0.242482242174447,0,2.96125914901495,0.0237254600506276,0.0361913786036894,45.6522087333724,17.9947757720947,23.2776336669922,681.505432128906,75.7945861816406,387.906036376953
"50kmE290N160",1.81919997266959,28.0755998974201,39.7800010628998,26.4787998050452,0.507199997082352,0,0,0.0112000001536217,0.0376000010874122,1.50800002738833,1.78239997476339,17.1298160552979,23.5268859863281,1013.75579833984,75.9375,468.925537109375
"50kmE295N160",5.10720001766459,10.3695998783223,16.7363999411464,25.1588003709912,2.83200008270796,0,0,0,0,0.0880000006873161,39.708000421524,16.5204105377197,22.4007720947266,824.220153808594,75.3075103759766,428.225738525391
"50kmE300N160",8.24857237748801,20.6578948535025,3.04752753581852,10.8611063566059,0.271978112868965,0,0,0,0,0.0806496595032513,56.8322718143463,17.7355442047119,23.2379112243652,565.454467773438,70.9422454833984,402.581756591797
"50kmE305N160",1.61169486600556,15.169731520291,3.7509588059038,18.8801090465859,0.758129823952913,0,0,0,0.0191762257600203,0.0240817709709518,59.7861170768738,17.2606430053711,22.83762550354,496.028350830078,68.9233474731445,401.410278320312
"50kmE310N160",1.04799999171519,22.8600003028987,5.38320005871356,25.3215998411178,0.688800011994318,0,0,0,0,0.181599997449666,44.5167988538742,16.6109046936035,23.0013637542725,476.651214599609,65.7920303344727,463.030120849609
"50kmE315N160",2.16559998007142,20.6164002418518,5.50839998759329,36.3395988941192,7.06240012805211,0,0,0.451199989765883,0,0.196400005370378,27.6600003242493,16.5500049591064,23.4795894622803,404.380859375,58.9388618469238,504.471588134766
"50kmE320N160",2.94600002671359,18.3880000709905,0.8860000045388,28.6659993231296,21.7259997036308,0.0604000000748783,0,0.146000005770475,0,0,27.1815985441208,18.01975440979,24.8805065155029,282.286010742188,52.3356437683105,506.7763671875
"50kmE325N160",0.872826413251459,3.33178722066805,0.246065782266669,12.8542499151081,1.28350170562044,0,0,0,0,0.0141417112899944,81.3974261283875,18.4691619873047,24.2810363769531,264.012573242188,54.3365936279297,420.75634765625
"50kmE450N160",2.75075216559343,10.652030154597,0.0266700808424503,0.139751227106899,0.0613411830272526,0,0,0.385649350937456,0.00426721271651331,0,85.9795391559601,18.3172245025635,24.4401397705078,526.013305664062,67.656005859375,447.190216064453
"50kmE455N160",2.76360001880676,64.3620016067871,1.916000014171,0.962799999979324,1.02479999623029,0.0303999986499548,0,0,0,0.341199990361929,28.5991996526718,17.6595802307129,24.4857406616211,639.38037109375,64.3795547485352,511.241271972656
