"GRD_ID","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8","frac_9","frac_10","frac_11","frac_12","frac_13","frac_14","frac_15","frac_16","frac_17","frac_18","frac_19","frac_20","frac_21","frac_22","frac_23","frac_24","frac_25","frac_26","frac_27","frac_28","frac_29","frac_30","frac_31","frac_32","frac_33","frac_34","frac_35","frac_36","frac_37","frac_38","frac_39","frac_40","frac_41","frac_42","frac_43"
"CRS3035RES20000mN1780000E3020000",0.00187499995809048,0.0030749998986721,0.00234999996609986,0,0,0,0,0,0,0,0,0,0,0,0,0.00215000007301569,0.278825014829636,0.000600000028498471,0,0,0.00215000007301569,0.168999999761581,0.146300002932549,0.0326999984681606,0.00960000045597553,0.0158500000834465,0,0.242874994874001,0.0557000003755093,0,0,0.00622500013560057,0,0,0,0,0,0,0,0,0.0307250004261732,0,0
"CRS3035RES20000mN1780000E3040000",0.00202500005252659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414175003767014,0,0,0.00232500000856817,0.00962499994784594,0.127725005149841,0.0492749996483326,0.202574998140335,0.0131999999284744,0.00789999961853027,0,0.0859249979257584,0.0668750032782555,0,0,0,0,0,0,0,0,0,0,0.00100000004749745,0.0173749998211861,0,0
"CRS3035RES20000mN2940000E3240000",0,0.164096921682358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770925134420395,0,0,0,0,0,0,0.0374449342489243,0,0,0,0,0,0,0,0,0,0,0,0.721365630626678,0,0,0,0
"CRS3035RES20000mN2940000E3260000",0,0.137254908680916,0,0,0,0,0,0,0,0,0,0.0824142172932625,0,0,0,0,0,0.049325980246067,0,0.290441185235977,0,0,0,0,0,0,0.030943626537919,0,0,0.0389093123376369,0,0,0,0,0,0,0,0,0.353247553110123,0,0,0,0.0174632351845503
"CRS3035RES20000mN2940000E3280000",0,0.141276150941849,0,0,0.00484177749603987,0,0,0,0,0,0,0.166349649429321,0,0,0,0,0,0.0217879991978407,0,0.215977862477303,0,0,0,0,0.0107210790738463,0,0.0349299684166908,0,0,0.0219609197229147,0,0,0,0,0,0,0,0,0.382154583930969,0,0,0,0
"CRS3035RES20000mN2940000E3300000",0,0,0,0,0.0769230797886848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06593406945467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142865657806,0,0,0,0
"CRS3035RES20000mN2940000E3320000",0,0.245576575398445,0.00915192160755396,0,0,0,0.00518608884885907,0,0,0,0.00549115333706141,0.0452511683106422,0,0,0,0,0,0.0320317260921001,0,0.227476105093956,0.0569452904164791,0,0.0444376654922962,0,0.0327435433864594,0.0032540166284889,0.0477933697402477,0,0.00254220049828291,0.0027455766685307,0,0,0,0,0,0,0.003152328543365,0,0.236221268773079,0,0,0,0
"CRS3035RES20000mN1780000E3060000",0,0,0,0,0,0,0,0,0,0,0,0,0.00179999996908009,0,0,0,0.209775000810623,0,0,0,0.00300000002607703,0.19734999537468,0.077624998986721,0.18987500667572,0.0209500007331371,0.0109999999403954,0,0.154699996113777,0.103900000452995,0,0,0.000624999986030161,0,0,0,0,0,0,0,0.00252499990165234,0.0268750004470348,0,0
"CRS3035RES20000mN2940000E3340000",0,0.10287032276392,0,0,0,0,0,0,0,0,0,0.267422139644623,0,0,0,0,0,0.0155391190201044,0,0.28241840004921,0.0172355305403471,0,0.0384067296981812,0,0.00298568233847618,0.00244283094070852,0.01872836984694,0,0,0.00210354896262288,0,0,0,0,0,0,0,0,0.236751034855843,0.00461423629894853,0,0,0.00848205201327801
"CRS3035RES20000mN2940000E3360000",0,0.0662824213504791,0,0,0,0,0,0,0,0,0,0.213588997721672,0,0,0,0,0,0,0,0.192086011171341,0.00908889342099428,0,0.017512746155262,0,0,0.00332520506344736,0.00376856583170593,0,0,0.006982930470258,0,0,0,0,0,0,0,0,0.476169377565384,0,0,0,0.0111948568373919
