"GRD_ID","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio4_sd_temp"
"CRS3035RES10000mN1640000E3080000",0,0,12.7199999988079,83.0099985003471,4.27000001072884,0,0,0,0,0,0,19.6553516387939,642.317138671875,533.350402832031
"CRS3035RES10000mN1640000E3090000",0,2.29000004474074,26.1199994944036,67.9700022563339,3.62000018358231,0,0,0,0,0,0,20.3821048736572,575.802368164062,550.072937011719
"CRS3035RES10000mN1640000E3100000",0.15999999595806,34.6400005742908,28.939999314025,35.1800002157688,0.549999997019768,0,0,0,0,0.529999984428287,0,22.4615325927734,547.359191894531,563.994262695312
"CRS3035RES10000mN1640000E3110000",1.97000000625849,37.7199998591095,5.91999981552363,50.569999217987,1.52000000234693,0,0,0,0,2.30000000447035,0,23.1011066436768,596.689147949219,577.760070800781
"CRS3035RES10000mN1640000E3120000",0.860000005923212,29.0499998256564,22.9899999685586,44.2900002002716,2.81000002287328,0,0,0,0,0,0,21.3667221069336,632.915161132812,597.179382324219
"CRS3035RES10000mN1640000E3130000",0.670000012905802,23.7699999473989,27.4900004267692,46.2700013071299,1.79999998945277,0,0,0,0,0,0,20.2781543731689,606.790832519531,614.329650878906
"CRS3035RES10000mN1640000E3140000",0.300000002607703,30.2300001960247,11.5900000324473,57.8799976967275,0,0,0,0,0,0,0,22.0371627807617,608.050903320312,623.279113769531
"CRS3035RES10000mN1640000E3150000",0.389999989420176,41.699999733828,6.44999984651804,44.8699995875359,6.58999979496002,0,0,0,0,0,0,24.4534530639648,528.126220703125,629.875244140625
"CRS3035RES10000mN2050000E2690000",0.279999990016222,0,3.90000008046627,3.81000001216307,1.40000004321337,0,0,0,0,0,90.60999751091,19.0511894226074,783.952575683594,263.640838623047
"CRS3035RES10000mN2050000E2700000",12.4899998540058,1.45000000484287,57.1299991570413,22.3299995064735,0.849999999627471,0,0,0,0,0,5.75000010430813,19.0838775634766,868.689392089844,293.532653808594
"CRS3035RES10000mN2050000E2710000",17.839999916032,32.7300001401454,34.8700003232806,14.5600001327693,0,0,0,0,0,0,0,19.5356178283691,834.638793945312,327.320648193359
"CRS3035RES10000mN1640000E3160000",0.380000006407499,29.490000475198,19.1099995747209,45.3399993479252,5.68000003695488,0,0,0,0,0,0,23.2008781433105,562.819946289062,634.201110839844
"CRS3035RES10000mN2050000E2720000",12.0600000489503,28.1399995437823,51.4099985361099,8.38999971747398,0,0,0,0,0,0,0,19.7746715545654,926.494140625,369.441986083984
"CRS3035RES10000mN2050000E2730000",5.6000001495704,55.389999342151,29.8800006508827,9.12999988067895,0,0,0,0,0,0,0,20.0350799560547,978.429443359375,402.485778808594
"CRS3035RES10000mN2050000E2740000",0,36.4500006660819,36.8000000715256,26.7499986104667,0,0,0,0,0,0,0,20.4513072967529,979.16552734375,426.261047363281
"CRS3035RES10000mN2050000E2750000",2.82000007282477,34.069998934865,38.0100004374981,25.0999996438622,0,0,0,0,0,0,0,20.4696617126465,1048.69897460938,447.017059326172
"CRS3035RES10000mN2050000E2760000",3.33000000100583,20.0699995271862,19.6099994704128,3.4400001168251,53.549998998642,0,0,0,0,0,0,20.534273147583,1076.53125,461.290588378906
"CRS3035RES10000mN2050000E2770000",1.46000003442168,14.5799994003028,12.7299997024238,10.980000346899,57.7000021934509,0,0,0,0,2.54999995231628,0,20.7754650115967,1119.67590332031,473.992614746094
"CRS3035RES10000mN2050000E2780000",0,5.93000007793306,48.6099990084767,25.8999994024634,10.7900001108646,0,0,0,0,8.77000018954277,0,20.3771743774414,1178.31469726562,485.739532470703
