"GRD_ID","area_total","area_land","prop_land"
"CRS3035RES20000mN1520000E4480000",400.000488695166,38.8598310850641,0.0971494590214827
"CRS3035RES20000mN1520000E4500000",400.000488686117,44.1614912290113,0.11040359319077
"CRS3035RES20000mN1520000E4720000",400.00048852012,75.1407644417989,0.187851681681182
"CRS3035RES20000mN1520000E4740000",400.000488499021,194.184294556659,0.485460143524636
"CRS3035RES20000mN1520000E4760000",400.000488476923,221.696146529616,0.554239689490796
"CRS3035RES20000mN1520000E4780000",400.000488453718,29.0191704019014,0.0725478374141011
"CRS3035RES20000mN1540000E4700000",400.000488615921,73.974828012044,0.184936844122394
"CRS3035RES20000mN1540000E4720000",400.000488595717,394.431973094854,0.986078728252527
"CRS3035RES20000mN1540000E4740000",400.000488574581,400.000488574581,1
"CRS3035RES20000mN1540000E4760000",400.000488552377,399.021891232769,0.997553509689078
"CRS3035RES20000mN1540000E4780000",400.000488529196,59.1479030551212,0.147869577041289
"CRS3035RES20000mN1560000E2920000",400.000486461472,126.529822714567,0.316324172087613
"CRS3035RES20000mN1560000E4640000",400.000488745058,61.9413595744803,0.154853209726848
"CRS3035RES20000mN1560000E4660000",400.000488727812,210.950523428404,0.527375664213123
"CRS3035RES20000mN1560000E4680000",400.000488709602,218.625090623405,0.546562058783198
"CRS3035RES20000mN1560000E4700000",400.00048869041,373.331654226841,0.933327995296003
"CRS3035RES20000mN1560000E4720000",400.000488670193,400.000488670193,1
"CRS3035RES20000mN1560000E4740000",400.000488648887,400.000488648887,1
"CRS3035RES20000mN1560000E4760000",400.000488626677,400.000488626677,1
"CRS3035RES20000mN1560000E4780000",400.000488603445,286.544672443999,0.716360806069102
"CRS3035RES20000mN1580000E2880000",400.000486389437,37.9362398445745,0.0948404842879118
"CRS3035RES20000mN1580000E2900000",400.000486459553,282.275080247565,0.705686842398649
"CRS3035RES20000mN1580000E2920000",400.000486528782,194.37602704956,0.485939476565047
"CRS3035RES20000mN1580000E2940000",400.000486597029,1.8945766052978,0.0047364357514056
"CRS3035RES20000mN1580000E4600000",400.000488849927,31.2941926932042,0.0782353861196033
"CRS3035RES20000mN1580000E4620000",400.000488834649,234.324240295671,0.585809884828753
"CRS3035RES20000mN1580000E4640000",400.00048881846,381.589427808444,0.953972403722807
"CRS3035RES20000mN1580000E4660000",400.000488801197,400.000488801197,1
"CRS3035RES20000mN1580000E4680000",400.000488782995,400.000488782995,1
"CRS3035RES20000mN1580000E4700000",400.000488763677,400.000488763677,1
"CRS3035RES20000mN1580000E4720000",400.00048874341,400.00048874341,1
"CRS3035RES20000mN1580000E4740000",400.00048872211,400.00048872211,1
"CRS3035RES20000mN1580000E4760000",400.000488699839,392.387987036998,0.980968769094296
"CRS3035RES20000mN1580000E4780000",400.000488676554,112.356637113381,0.280891249621033
"CRS3035RES20000mN1580000E6360000",400.000483785328,34.5001939436807,0.0862503805425302
"CRS3035RES20000mN1580000E6380000",400.000483687523,59.2986405782476,0.148246422183257
"CRS3035RES20000mN1600000E2860000",400.000486384018,55.6826762058039,0.139206521244942
"CRS3035RES20000mN1600000E2880000",400.000486455223,326.661193400398,0.81665199033943
"CRS3035RES20000mN1600000E2900000",400.000486525515,400.000486525515,1
"CRS3035RES20000mN1600000E2920000",400.000486594948,400.000486594948,1
"CRS3035RES20000mN1600000E2940000",400.000486663362,201.766017071875,0.504414428979631
"CRS3035RES20000mN1600000E2960000",400.000486730919,7.50559076396954,0.0187639540774323
"CRS3035RES20000mN1600000E2980000",400.000486797501,3.31829269664955,0.00829572164578247
"CRS3035RES20000mN1600000E3000000",400.000486863165,4.96567615401888,0.0124141752750355
"CRS3035RES20000mN1600000E3100000",400.000487177299,1.1388883333559,0.00284721736564059
"CRS3035RES20000mN1600000E3140000",400.000487296251,16.2180334310257,0.0405450341839564
"CRS3035RES20000mN1600000E3160000",400.000487354351,146.330199897501,0.365825054027672
"CRS3035RES20000mN1600000E3180000",400.000487411472,140.607207357829,0.351517590060308
"CRS3035RES20000mN1600000E3200000",400.000487467659,28.2415916394736,0.0706038930558978
"CRS3035RES20000mN1600000E3220000",400.000487522867,248.51801365465,0.621294276898707
"CRS3035RES20000mN1600000E3240000",400.000487577024,42.4664402698903,0.106165971264505
"CRS3035RES20000mN1600000E4540000",400.000488961833,30.2402854405322,0.0756006211867847
"CRS3035RES20000mN1600000E4560000",400.00048894965,96.2741599120209,0.240685105572807
"CRS3035RES20000mN1600000E4580000",400.000488936428,186.728899310879,0.466821677661887
"CRS3035RES20000mN1600000E4600000",400.000488922219,342.496397218736,0.856239946460003
"CRS3035RES20000mN1600000E4620000",400.000488906939,400.000488906939,1
"CRS3035RES20000mN1600000E4640000",400.000488890621,400.000488890621,1
"CRS3035RES20000mN1600000E4660000",400.000488873477,400.000488873477,1
"CRS3035RES20000mN1600000E4680000",400.000488855065,400.000488855065,1
"CRS3035RES20000mN1600000E4700000",400.000488835856,400.000488835856,1
"CRS3035RES20000mN1600000E4720000",400.000488815473,400.000488815473,1
"CRS3035RES20000mN1600000E4740000",400.000488794174,400.000488794174,1
"CRS3035RES20000mN1600000E4760000",400.000488771769,299.990132816916,0.749974415626486
"CRS3035RES20000mN1600000E6340000",400.000483940781,92.7987717283167,0.231996648639194
"CRS3035RES20000mN1600000E6360000",400.000483843506,388.164808123863,0.970410846492193
"CRS3035RES20000mN1600000E6380000",400.00048374543,399.701354569878,0.999252177965508
"CRS3035RES20000mN1600000E6400000",400.000483646477,372.018222967571,0.930044432887144
"CRS3035RES20000mN1600000E6420000",400.000483546799,131.54250476232,0.3288558643628
"CRS3035RES20000mN1600000E6440000",400.000483446316,2.60710718076849,0.00651776007445349
"CRS3035RES20000mN1620000E2860000",400.000486448458,245.12042916347,0.612800327669239
"CRS3035RES20000mN1620000E2880000",400.000486519915,400.000486519915,1
"CRS3035RES20000mN1620000E2900000",400.000486590429,400.000486590429,1
"CRS3035RES20000mN1620000E2920000",400.000486659933,400.000486659933,1
"CRS3035RES20000mN1620000E2940000",400.000486728626,400.000486728626,1
"CRS3035RES20000mN1620000E2960000",400.000486796345,393.466804958882,0.983665815284897
"CRS3035RES20000mN1620000E2980000",400.000486863113,368.990012880802,0.922473909405705
"CRS3035RES20000mN1620000E3000000",400.000486928894,347.699413392673,0.869247475327404
"CRS3035RES20000mN1620000E3020000",400.000486993883,91.6826380239375,0.229206316004659
"CRS3035RES20000mN1620000E3040000",400.000487057747,107.694259701982,0.269235321422081
"CRS3035RES20000mN1620000E3060000",400.000487120779,138.308373204186,0.345770511930462
"CRS3035RES20000mN1620000E3080000",400.000487182756,216.359761374986,0.540898744646111
"CRS3035RES20000mN1620000E3100000",400.000487243914,338.304004101335,0.845758980026048
"CRS3035RES20000mN1620000E3120000",400.000487304079,349.64165130153,0.874103063368854
"CRS3035RES20000mN1620000E3140000",400.000487363251,393.928812243602,0.984820830695301
"CRS3035RES20000mN1620000E3160000",400.000487421465,400.000487421465,1
"CRS3035RES20000mN1620000E3180000",400.000487478733,400.000487478733,1
"CRS3035RES20000mN1620000E3200000",400.000487535011,400.000487535011,1
"CRS3035RES20000mN1620000E3220000",400.000487590296,400.000487590296,1
"CRS3035RES20000mN1620000E3240000",400.000487644693,344.80339594957,0.862007438990541
"CRS3035RES20000mN1620000E3260000",400.000487698067,13.3239691715477,0.0333098823159561
"CRS3035RES20000mN1620000E4520000",400.000489044291,16.1666079972104,0.0404164705794153
"CRS3035RES20000mN1620000E4540000",400.000489033121,343.144908006992,0.857861221211105
"CRS3035RES20000mN1620000E4560000",400.000489020853,400.000489020853,1
"CRS3035RES20000mN1620000E4580000",400.000489007597,400.000489007597,1
"CRS3035RES20000mN1620000E4600000",400.000488993335,400.000488993335,1
"CRS3035RES20000mN1620000E4620000",400.000488978087,400.000488978087,1
"CRS3035RES20000mN1620000E4640000",400.000488961819,400.000488961819,1
"CRS3035RES20000mN1620000E4660000",400.000488944408,400.000488944408,1
"CRS3035RES20000mN1620000E4680000",400.000488926121,400.000488926121,1
"CRS3035RES20000mN1620000E4700000",400.000488906658,400.000488906658,1
"CRS3035RES20000mN1620000E4720000",400.000488886326,400.000488886326,1
"CRS3035RES20000mN1620000E4740000",400.000488864924,400.000488864924,1
"CRS3035RES20000mN1620000E4760000",400.000488842547,389.829568258527,0.974572729614779
"CRS3035RES20000mN1620000E4780000",400.000488819131,27.9745397442396,0.0699362638951396
"CRS3035RES20000mN1620000E6340000",400.000483998314,170.433775986342,0.426083924406102
"CRS3035RES20000mN1620000E6360000",400.000483900757,397.12939922158,0.992822296985297
"CRS3035RES20000mN1620000E6380000",400.000483802341,400.000483802341,1
"CRS3035RES20000mN1620000E6400000",400.000483703156,400.000483703156,1
"CRS3035RES20000mN1620000E6420000",400.000483603073,400.000483603073,1
"CRS3035RES20000mN1620000E6440000",400.000483502357,281.62819842456,0.704069645013067
"CRS3035RES20000mN1620000E6460000",400.0004834007,13.6295213521928,0.0340737622022807
"CRS3035RES20000mN1640000E2840000",400.000486439343,0.0345552262624502,8.63879605998686e-05
"CRS3035RES20000mN1640000E2860000",400.000486511894,286.746909852527,0.716866402721238
"CRS3035RES20000mN1640000E2880000",400.000486583527,400.000486583527,1
"CRS3035RES20000mN1640000E2900000",400.000486654219,400.000486654219,1
"CRS3035RES20000mN1640000E2920000",400.000486724018,400.000486724018,1
"CRS3035RES20000mN1640000E2940000",400.000486792801,400.000486792801,1
"CRS3035RES20000mN1640000E2960000",400.000486860645,400.000486860645,1
"CRS3035RES20000mN1640000E2980000",400.000486927595,400.000486927595,1
"CRS3035RES20000mN1640000E3000000",400.000486993666,400.000486993666,1
"CRS3035RES20000mN1640000E3020000",400.000487058685,400.000487058685,1
"CRS3035RES20000mN1640000E3040000",400.000487122803,400.000487122803,1
"CRS3035RES20000mN1640000E3060000",400.000487185963,400.000487185963,1
"CRS3035RES20000mN1640000E3080000",400.000487248184,400.000487248184,1
"CRS3035RES20000mN1640000E3100000",400.000487309446,400.000487309446,1
"CRS3035RES20000mN1640000E3120000",400.000487369659,400.000487369659,1
"CRS3035RES20000mN1640000E3140000",400.000487429087,400.000487429087,1
"CRS3035RES20000mN1640000E3160000",400.000487487453,400.000487487453,1
"CRS3035RES20000mN1640000E3180000",400.000487544851,400.000487544851,1
"CRS3035RES20000mN1640000E3200000",400.000487601286,400.000487601286,1
"CRS3035RES20000mN1640000E3220000",400.000487656782,400.000487656782,1
"CRS3035RES20000mN1640000E3240000",400.000487711273,400.000487711273,1
"CRS3035RES20000mN1640000E3260000",400.000487764839,179.673521012651,0.449183254792133
"CRS3035RES20000mN1640000E4500000",400.000489124578,11.5692037859077,0.0289229740974256
"CRS3035RES20000mN1640000E4520000",400.000489114384,21.5963432745605,0.0539907921672186
"CRS3035RES20000mN1640000E4540000",400.000489103128,389.703545889506,0.974257673442575
"CRS3035RES20000mN1640000E4560000",400.000489090891,400.000489090891,1
"CRS3035RES20000mN1640000E4580000",400.000489077606,400.000489077606,1
"CRS3035RES20000mN1640000E4600000",400.000489063354,400.000489063354,1
"CRS3035RES20000mN1640000E4620000",400.000489047962,400.000489047962,1
"CRS3035RES20000mN1640000E4640000",400.000489031588,400.000489031588,1
"CRS3035RES20000mN1640000E4660000",400.000489014217,400.000489014217,1
"CRS3035RES20000mN1640000E4680000",400.000488995846,400.000488995846,1
"CRS3035RES20000mN1640000E4700000",400.00048897646,400.00048897646,1
"CRS3035RES20000mN1640000E4720000",400.000488956028,400.000488956028,1
"CRS3035RES20000mN1640000E4740000",400.000488934589,400.000488934589,1
"CRS3035RES20000mN1640000E4760000",400.000488912132,400.000488912132,1
"CRS3035RES20000mN1640000E4780000",400.000488888593,122.61432989549,0.306535450084514
