"GRD_ID","bio10","bio12","bio4"
"CRS3035RES5000mN1770000E2710000",23.3789806365967,813.408508300781,506.728302001953
"CRS3035RES5000mN1770000E2715000",23.1901206970215,790.573486328125,511.678192138672
"CRS3035RES5000mN1770000E2720000",22.6172008514404,794.524108886719,514.884704589844
"CRS3035RES5000mN1770000E2725000",22.8872013092041,744.003295898438,517.392272949219
"CRS3035RES5000mN1770000E2730000",22.8542385101318,698.806762695312,520.121154785156
"CRS3035RES5000mN1770000E2735000",23.0688209533691,691.439819335938,523.813598632812
"CRS3035RES5000mN1770000E2740000",23.5305690765381,653.562866210938,528.116394042969
"CRS3035RES5000mN1770000E2745000",23.6666126251221,645.264465332031,531.163818359375
"CRS3035RES5000mN1770000E2750000",24.0396556854248,628.477966308594,533.500122070312
"CRS3035RES5000mN1770000E2755000",24.3134422302246,608.234436035156,534.221313476562
"CRS3035RES5000mN2510000E3440000",20.1936359405518,917.207885742188,478.619903564453
"CRS3035RES5000mN2510000E3445000",20.2848949432373,932.094543457031,491.361480712891
"CRS3035RES5000mN2510000E3450000",20.3988761901855,896.226745605469,501.691162109375
"CRS3035RES5000mN2510000E3455000",20.464469909668,897.020751953125,511.939910888672
"CRS3035RES5000mN2510000E3460000",20.539587020874,899.3134765625,518.824645996094
"CRS3035RES5000mN2510000E3465000",20.5009632110596,904.463745117188,523.18212890625
"CRS3035RES5000mN2510000E3470000",20.4850196838379,895.393920898438,526.190002441406
"CRS3035RES5000mN2510000E3475000",20.5115909576416,877.059814453125,528.60986328125
"CRS3035RES5000mN2510000E3480000",20.5517749786377,845.433349609375,531.173034667969
"CRS3035RES5000mN2510000E3485000",20.5110721588135,857.338806152344,533.05419921875
"CRS3035RES5000mN1770000E2760000",24.5671653747559,590.910034179688,533.810852050781
"CRS3035RES5000mN2510000E3490000",20.4409446716309,864.341186523438,534.154174804688
"CRS3035RES5000mN2510000E3495000",20.3506851196289,878.695190429688,534.924743652344
"CRS3035RES5000mN2510000E3500000",20.2216815948486,888.165893554688,536.134338378906
"CRS3035RES5000mN2510000E3505000",20.2766151428223,868.047058105469,538.94677734375
"CRS3035RES5000mN2510000E3510000",20.161771774292,877.605346679688,539.645324707031
"CRS3035RES5000mN2510000E3515000",20.1216373443604,889.450805664062,541.349182128906
"CRS3035RES5000mN2510000E3520000",20.2297077178955,842.922546386719,544.739135742188
"CRS3035RES5000mN2510000E3525000",20.2547588348389,849.913269042969,547.570739746094
"CRS3035RES5000mN2510000E3530000",20.1597023010254,861.498413085938,549.037353515625
"CRS3035RES5000mN2510000E3535000",20.2972030639648,852.616271972656,552.106323242188
"CRS3035RES5000mN1770000E2765000",24.5019435882568,597.990356445312,531.985595703125
"CRS3035RES5000mN2510000E3540000",20.2492542266846,843.57763671875,552.183044433594
"CRS3035RES5000mN2510000E3545000",20.1998653411865,886.130249023438,551.8818359375
"CRS3035RES5000mN2510000E3550000",20.4396572113037,858.467163085938,554.41162109375
"CRS3035RES5000mN2510000E3555000",20.3853435516357,856.549377441406,553.976257324219
"CRS3035RES5000mN2510000E3560000",20.2132949829102,875.914367675781,552.601623535156
"CRS3035RES5000mN2510000E3565000",20.1076068878174,912.736633300781,552.207336425781
"CRS3035RES5000mN2510000E3570000",20.0005931854248,941.087524414062,552.3046875
"CRS3035RES5000mN2510000E3575000",19.9935722351074,949.724365234375,553.344055175781
"CRS3035RES5000mN2510000E3580000",20.1223907470703,926.173950195312,556.509704589844
"CRS3035RES5000mN2510000E3585000",19.8518753051758,966.447509765625,555.272583007812
"CRS3035RES5000mN1770000E2770000",24.5582218170166,605.174133300781,531.287536621094
"CRS3035RES5000mN2510000E3590000",19.848014831543,971.10498046875,557.521850585938
"CRS3035RES5000mN2510000E3595000",19.8979625701904,960.427612304688,559.754333496094
"CRS3035RES5000mN2510000E3600000",19.8360595703125,982.396728515625,559.59619140625
"CRS3035RES5000mN2510000E3605000",19.8525218963623,995.158874511719,559.965576171875
"CRS3035RES5000mN2510000E3610000",20.0053596496582,963.562316894531,562.01171875
"CRS3035RES5000mN2510000E3615000",19.8766632080078,984.124877929688,561.013000488281
"CRS3035RES5000mN2510000E3620000",19.6242008209229,1040.76513671875,558.536254882812
"CRS3035RES5000mN2510000E3625000",19.2284603118896,1073.81018066406,554.361999511719
"CRS3035RES5000mN2510000E3630000",19.2016353607178,1087.44213867188,555.409729003906
"CRS3035RES5000mN2510000E3635000",18.9359703063965,1110.81213378906,553.06689453125
"CRS3035RES5000mN1770000E2775000",25.0525665283203,554.614318847656,533.968627929688
"CRS3035RES5000mN2510000E3640000",18.6854648590088,1156.85620117188,550.650024414062
"CRS3035RES5000mN2510000E3645000",18.6986083984375,1194.39562988281,552.222229003906
"CRS3035RES5000mN2510000E3650000",18.9050464630127,1203.79235839844,556.544006347656
"CRS3035RES5000mN2510000E3655000",18.986156463623,1235.75415039062,558.911926269531
"CRS3035RES5000mN2510000E3660000",18.5951347351074,1334.55322265625,555.462463378906
"CRS3035RES5000mN2510000E3665000",18.4485664367676,1429.87072753906,555.215637207031
"CRS3035RES5000mN2510000E3670000",18.3023242950439,1516.38464355469,555.185119628906
"CRS3035RES5000mN2510000E3675000",18.3531703948975,1532.01721191406,557.606506347656
"CRS3035RES5000mN2510000E3680000",17.8250331878662,1617.99084472656,552.318359375
"CRS3035RES5000mN2510000E3685000",17.4682788848877,1664.2373046875,549.281860351562
"CRS3035RES5000mN1770000E2780000",25.0764312744141,526.179992675781,534.696594238281
"CRS3035RES5000mN2510000E3690000",16.9476413726807,1615.44860839844,543.465881347656
"CRS3035RES5000mN2510000E3695000",17.068265914917,1551.6943359375,546.757080078125
"CRS3035RES5000mN2510000E3700000",17.5125732421875,1400.33386230469,553.522583007812
