"GRD_ID","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8","frac_9","frac_10","frac_11","frac_12","frac_13","frac_14","frac_15","frac_16","frac_17","frac_18","frac_19","frac_20","frac_21","frac_22","frac_23","frac_24","frac_25","frac_26","frac_27","frac_28","frac_29","frac_30","frac_31","frac_32","frac_33","frac_34","frac_35","frac_36","frac_37","frac_38","frac_39","frac_40","frac_41","frac_42","frac_43"
"CRS3035RES10000mN3990000E3220000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRS3035RES10000mN3990000E3230000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRS3035RES10000mN3990000E3310000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116838485002518,0,0,0,0,0,0,0,0.384879738092422,0.316151201725006,0,0,0.0790378004312515,0,0.0687285214662552,0,0,0,0.0343642607331276,0,0,0,0,0,0,0
"CRS3035RES10000mN3990000E3320000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074835829436779,0.187337383627892,0,0,0.00284970877692103,0.00681452127173543,0.203444436192513,0,0,0,0.501053154468536,0,0,0,0,0.0236649736762047,0,0
"CRS3035RES10000mN3990000E3330000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927138980478048,0,0,0,0,0.0854580253362656,0.205986097455025,0,0,0,0.0293258093297482,0.0452484115958214,0,0,0,0.589337885379791,0,0,0,0,0.035372368991375,0,0
"CRS3035RES10000mN3990000E3340000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034478984773159,0,0,0.00043782836291939,0,0,0,0.0436733812093735,0.0642513111233711,0.136930823326111,0,0.0170753058046103,0,0,0.0160901919007301,0,0,0,0.682464957237244,0,0,0,0,0.00459719775244594,0,0
"CRS3035RES10000mN3990000E3350000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866809859871864,0,0,0,0,0,0,0,0.0176154673099518,0.074650913476944,0,0,0,0,0,0,0,0,0.796240627765656,0,0,0,0,0.0248120296746492,0,0
"CRS3035RES10000mN3990000E3360000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091043122112751,0,0,0,0,0,0,0,0.106155544519424,0.0239587165415287,0,0,0,0,0,0,0,0,0.778842628002167,0,0,0,0,0,0,0
"CRS3035RES10000mN3990000E3420000",0,0.00296442676335573,0,0,0,0,0,0,0,0,0.00741106737405062,0,0,0,0,0,0,0.0810276716947556,0,0,0,0,0.0474308282136917,0,0,0.0108695654198527,0.244812250137329,0,0,0,0,0.0360671952366829,0,0,0,0.551383376121521,0,0,0,0,0.0180335976183414,0,0
"CRS3035RES10000mN3990000E3430000",0,0.00201836717315018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343122403137386,0,0,0,0,0.0379453040659428,0,0.00898173358291388,0.00272479560226202,0.0397618338465691,0,0.002825713949278,0,0,0.0268442835658789,0,0,0,0.812796473503113,0,0,0,0,0.0626702979207039,0,0
"CRS3035RES10000mN3990000E3440000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289999996311963,0,0,0,0,0.0199999995529652,0,0.00289999996311963,0.0366999991238117,0.142900004982948,0,0,0,0.0421000011265278,0.137500002980232,0,0,0,0.466399997472763,0,0,0,0,0.0357000008225441,0,0.112899996340275
"CRS3035RES10000mN3990000E3450000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279999990016222,0,0.0384000018239021,0.0658999979496002,0,0.010499999858439,0,0,0.197999998927116,0,0,0,0.658100008964539,0,0,0,0,0.022299999371171,0,0.00400000018998981
"CRS3035RES10000mN3990000E3460000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549999997019768,0,0.045099999755621,0.0922000035643578,0,0.00249999994412065,0,0,0.0931999981403351,0,0,0,0.717999994754791,0,0,0,0,0.0434999987483025,0,0
"CRS3035RES10000mN3990000E3470000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159000009298325,0,0,0,0,0,0.00960000045597553,0,0.0302000008523464,0.27810001373291,0,0.0185000002384186,0,0,0,0,0,0.0142000000923872,0.625500023365021,0,0,0,0,0.00800000037997961,0,0
"CRS3035RES10000mN3990000E3480000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600000005215406,0,0,0,0,0.0105999996885657,0.016100000590086,0,0.0277999993413687,0.399399995803833,0,0.00669999979436398,0,0,0.0277999993413687,0,0,0,0.441700011491776,0,0,0,0,0.063900001347065,0,0
"CRS3035RES10000mN3990000E3490000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011400000192225,0,0,0,0,0,0.2449000030756,0,0.0152000002563,0.0465000011026859,0,0.099200002849102,0,0,0,0,0,0,0.495900005102158,0,0,0,0,0.0869000032544136,0,0
"CRS3035RES10000mN3990000E3500000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270000007003546,0,0,0,0,0,0.0443999990820885,0,0.0533999986946583,0.0716999992728233,0,0.0153000000864267,0,0,0.00380000006407499,0,0,0,0.760999977588654,0,0,0,0,0.0476999990642071,0,0
"CRS3035RES10000mN3990000E3510000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134900003671646,0,0.0159000009298325,0,0,0.0509999990463257,0,0,0,0,0,0,0.795700013637543,0,0,0,0,0.00249999994412065,0,0
"CRS3035RES10000mN3990000E3520000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235499992966652,0,0.00760000012814999,0.00939999986439943,0,0.0732999965548515,0,0,0,0,0,0,0.666899979114532,0,0,0,0,0.00730000017210841,0,0
"CRS3035RES10000mN3990000E3530000",0,0,0.00650000013411045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125000001862645,0,0,0,0,0,0.0149999996647239,0,0.0242999996989965,0.0331999994814396,0,0.0329000018537045,0,0,0,0,0,0,0.835900008678436,0,0,0,0,0.0397000014781952,0,0
"CRS3035RES10000mN3990000E3540000",0,0,0.0299999993294477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443999990820885,0,0,0,0,0,0.128199994564056,0,0.0423000007867813,0.00170000002253801,0,0.0452000014483929,0,0,0,0,0,0,0.702300012111664,0,0,0,0,0.0059000002220273,0,0
"CRS3035RES10000mN3990000E3550000",0,0.00721304630860686,0.00627221399918199,0,0,0.0053313821554184,0,0,0,0,0,0.0287476480007172,0,0,0,0,0,0.447313398122787,0,0,0,0,0,0.0883336812257767,0,0,0.0314656086266041,0,0.102132551372051,0,0,0,0,0,0.0105582270771265,0.258624285459518,0,0,0,0,0.0140079446136951,0,0
"CRS3035RES10000mN3990000E3560000",0,0.158249154686928,0,0,0.0235690232366323,0.149831652641296,0,0,0,0,0,0,0,0,0,0,0,0.521885514259338,0,0,0,0,0,0,0,0.0244107749313116,0,0,0,0,0,0,0,0,0,0,0,0,0.122053869068623,0,0,0,0
"CRS3035RES10000mN3990000E4060000",0,0.182594418525696,0.00886699464172125,0,0,0,0,0,0,0,0.0170771759003401,0.564532041549683,0,0,0,0,0,0,0,0.111986860632896,0.064039409160614,0,0,0,0,0,0,0,0,0,0,0.02101806178689,0,0,0,0,0,0,0,0,0.0298850573599339,0,0
"CRS3035RES10000mN3990000E4070000",0.0104237478226423,0.530704736709595,0.0523453429341316,0.00634489022195339,0,0,0,0,0,0.0448674373328686,0.0154090188443661,0.149331524968147,0,0,0,0,0,0,0,0.0412417873740196,0.0147292092442513,0,0.0104237478226423,0.00679809646680951,0,0,0.0534783601760864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639021098613739,0,0
"CRS3035RES10000mN3990000E4080000",0,0.0122352940961719,0,0,0,0,0,0,0,0,0.0781176462769508,0.143058821558952,0,0,0,0,0,0.0334117636084557,0,0.018823528662324,0.12564705312252,0,0.207529410719872,0.34588235616684,0.000941176491323858,0,0.0343529395759106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRS3035RES10000mN3990000E4090000",0,0.0475491993129253,0.00330033013597131,0,0,0,0,0,0,0,0.00831194221973419,0.00220022001303732,0,0,0,0,0,0.0119789754971862,0,0,0.0581835955381393,0,0.0924092382192612,0.45556777715683,0.0119789754971862,0,0.0729739665985107,0,0,0,0,0.176751002669334,0,0,0,0,0,0,0,0,0.058794766664505,0,0
