"grid_id","area_total","area_land","percent_land"
"CRS3035RES50000mN1500000E4450000",2500.0190809269,38.879209257264,1.55515650075955
"CRS3035RES50000mN1500000E4500000",2500.01908004312,44.1421123191342,1.76567101713371
"CRS3035RES50000mN1500000E4700000",2500.01907404566,471.284685617474,18.8512435969065
"CRS3035RES50000mN1500000E4750000",2500.01907193255,658.330893671799,26.3330348581261
"CRS3035RES50000mN1550000E2850000",2500.01898725796,373.553222355093,14.9420154110433
"CRS3035RES50000mN1550000E2900000",2500.0189940975,999.411131735461,39.9761415451264
"CRS3035RES50000mN1550000E4600000",2500.01908494582,451.7519159702,18.0699386932877
"CRS3035RES50000mN1550000E4650000",2500.01908331185,1486.09959927143,59.4435302190873
"CRS3035RES50000mN1550000E4700000",2500.01908143069,2339.73435446626,93.5886598564397
"CRS3035RES50000mN1550000E4750000",2500.0190793027,1940.94569860981,77.6372354386659
"CRS3035RES50000mN1550000E6350000",2500.01888684564,93.0700105489889,3.72277229738926
"CRS3035RES50000mN1600000E2850000",2500.0189937033,1373.50693625111,54.9398600454838
"CRS3035RES50000mN1600000E2900000",2500.01900059278,2460.16721272364,98.4059406004637
"CRS3035RES50000mN1600000E2950000",2500.01900725533,1514.94520125861,60.5973473346431
"CRS3035RES50000mN1600000E3000000",2500.01901368917,993.680565881253,39.7469203410146
"CRS3035RES50000mN1600000E3050000",2500.0190198926,912.63568710977,36.5051497547797
"CRS3035RES50000mN1600000E3100000",2500.01902586424,1382.64556348151,55.3054016460349
"CRS3035RES50000mN1600000E3150000",2500.01903160258,1802.94753426853,72.1173523672254
"CRS3035RES50000mN1600000E3200000",2500.01903710603,1817.01668847788,72.6801140915
"CRS3035RES50000mN1600000E3250000",2500.01904237345,315.29471133801,12.6116923908979
"CRS3035RES50000mN1600000E4500000",2500.01909461691,267.892351351899,10.7156122098719
"CRS3035RES50000mN1600000E4550000",2500.01909347101,1807.42051931188,72.2962686177917
"CRS3035RES50000mN1600000E4600000",2500.01909207542,2442.94243891121,97.7169513086864
"CRS3035RES50000mN1600000E4650000",2500.01909043055,2500.01909043055,100
"CRS3035RES50000mN1600000E4700000",2500.0190885368,2500.0190885368,100
"CRS3035RES50000mN1600000E4750000",2500.01908639453,1455.56862367358,58.2223004454242
"CRS3035RES50000mN1600000E6300000",2500.01890200407,59.122522926063,2.364883036631
"CRS3035RES50000mN1600000E6350000",2500.01889251981,2160.18482714139,86.4067401092358
"CRS3035RES50000mN1600000E6400000",2500.01888283827,1989.05141686574,79.5614557361889
"CRS3035RES50000mN1600000E6450000",2500.01887296214,283.536702691926,11.3413824894841
"CRS3035RES50000mN1650000E2850000",2500.01899989394,2075.85294166153,83.0334866154858
"CRS3035RES50000mN1650000E2900000",2500.01900683128,2500.01900683128,100
"CRS3035RES50000mN1650000E2950000",2500.01901353975,2500.01901353975,100
"CRS3035RES50000mN1650000E3000000",2500.0190200179,2500.0190200179,100
"CRS3035RES50000mN1650000E3050000",2500.01902626389,2500.01902626389,100
