"year","cellcode","temp_mean"
"2005","50kmE445N150",18.287609354655
"2005","50kmE450N150",18.2073939005534
"2005","50kmE470N150",18.010649617513
"2005","50kmE475N150",18.2122385660808
"2005","50kmE285N155",17.9010965983073
"2005","50kmE290N155",17.4094660441081
"2005","50kmE460N155",17.6635681152344
"2005","50kmE465N155",16.9876317342122
"2005","50kmE470N155",16.1925216674805
"2005","50kmE475N155",17.0080505371094
"2005","50kmE635N155",20.067778523763
"2005","50kmE640N155",20.2953557332357
"2005","50kmE285N160",17.9099848429362
"2005","50kmE290N160",16.9458862304688
"2005","50kmE295N160",16.2187693277995
"2005","50kmE300N160",17.4106409708659
"2005","50kmE305N160",16.9633066813151
"2005","50kmE310N160",16.30982615153
"2005","50kmE315N160",16.3022933959961
"2005","50kmE320N160",17.6861638387044
"2005","50kmE325N160",18.1256474812826
"2005","50kmE450N160",17.9426844278972
"2005","50kmE455N160",17.3051849365235
"2005","50kmE460N160",15.2186650594076
"2005","50kmE465N160",14.5724502563477
"2005","50kmE470N160",15.0732411702474
"2005","50kmE475N160",16.2613108317058
"2005","50kmE630N160",19.8127100626628
"2005","50kmE635N160",17.859999593099
"2005","50kmE640N160",18.5416732788086
"2005","50kmE645N160",20.232807413737
"2005","50kmE285N165",18.5573338826497
"2005","50kmE290N165",17.8149963378906
"2005","50kmE295N165",15.7530125935872
"2005","50kmE300N165",15.6119400024414
"2005","50kmE305N165",14.6390981038411
"2005","50kmE310N165",12.7411743164063
"2005","50kmE315N165",12.9474807739258
"2005","50kmE320N165",14.1011062622071
"2005","50kmE325N165",16.8507197062175
"2005","50kmE330N165",17.6581741333008
"2005","50kmE335N165",17.9916931152344
"2005","50kmE450N165",18.0126154581706
"2005","50kmE455N165",17.8400029500326
"2005","50kmE460N165",16.8567087809245
"2005","50kmE465N165",16.8573420206706
"2005","50kmE470N165",15.3807871500651
"2005","50kmE475N165",14.9849004109701
"2005","50kmE480N165",16.1610809326172
"2005","50kmE485N165",17.8140833536784
"2005","50kmE635N165",20.0176762898763
"2005","50kmE640N165",19.8508138020833
"2005","50kmE645N165",20.462668355306
"2005","50kmE650N165",20.3792587280274
"2005","50kmE270N170",17.5110616048177
"2005","50kmE275N170",17.8504119873047
"2005","50kmE280N170",18.1229721069336
"2005","50kmE285N170",18.7398061116536
"2005","50kmE290N170",19.1341033935547
"2005","50kmE295N170",18.6088195800781
"2005","50kmE300N170",17.4387018839519
"2005","50kmE305N170",15.399794514974
"2005","50kmE310N170",14.4077239990235
"2005","50kmE315N170",14.6193939208985
"2005","50kmE320N170",12.7014658610026
"2005","50kmE325N170",14.4753382364909
"2005","50kmE330N170",17.0776941935222
"2005","50kmE335N170",18.1920003255208
"2005","50kmE475N170",18.0862848917644
"2005","50kmE480N170",16.9263676961263
"2005","50kmE485N170",15.1023803710938
"2005","50kmE260N175",16.7557973225911
"2005","50kmE265N175",16.6397338867188
"2005","50kmE270N175",16.4416697184245
"2005","50kmE275N175",17.6751647949219
"2005","50kmE280N175",18.120502726237
"2005","50kmE285N175",17.9285115559896
"2005","50kmE290N175",18.2542027791341
"2005","50kmE295N175",18.4272069295247
"2005","50kmE300N175",18.1239919026693
"2005","50kmE305N175",17.996723429362
"2005","50kmE310N175",17.7405563354492
"2005","50kmE315N175",15.9329950968425
"2005","50kmE320N175",12.6321935017904
"2005","50kmE325N175",14.7227340698242
"2005","50kmE330N175",16.2646982828776
"2005","50kmE335N175",15.9776830037435
"2005","50kmE340N175",16.560683186849
"2005","50kmE345N175",17.9595301310222
"2005","50kmE355N175",18.3059580485026
"2005","50kmE415N175",17.2224695841472
"2005","50kmE420N175",16.8640482584636
"2005","50kmE425N175",17.4740463256836
"2005","50kmE480N175",17.7240615844727
"2005","50kmE485N175",15.0109624226888
"2005","50kmE490N175",17.2223220825196
"2005","50kmE265N180",16.3754414876302
"2005","50kmE270N180",16.5009755452474
"2005","50kmE275N180",17.1872294108073
"2005","50kmE280N180",16.9805821736654
"2005","50kmE285N180",15.9894983927409
"2005","50kmE290N180",16.1118637084961
"2005","50kmE295N180",16.3131932576497
"2005","50kmE300N180",16.1335718790691
"2005","50kmE305N180",15.8076695760091
"2005","50kmE310N180",15.85439453125
"2005","50kmE315N180",15.2131439208985
"2005","50kmE320N180",13.7526082356771
"2005","50kmE325N180",14.0690984090169
"2005","50kmE330N180",14.0321314493816
"2005","50kmE335N180",14.6802841186524
"2005","50kmE340N180",16.5294077555339
"2005","50kmE345N180",17.7809539794922
"2005","50kmE355N180",18.1633646647136
"2005","50kmE365N180",17.9457717895508
"2005","50kmE370N180",17.7803181966146
"2005","50kmE415N180",16.7745783487956
"2005","50kmE420N180",16.1937576293946
"2005","50kmE425N180",15.8709274291992
"2005","50kmE480N180",16.9864084879558
"2005","50kmE485N180",11.0803924560547
"2005","50kmE490N180",15.4296915690105
"2005","50kmE265N185",16.1693054199219
"2005","50kmE270N185",16.6963389078776
"2005","50kmE275N185",16.9262252807617
"2005","50kmE280N185",17.0481938680013
"2005","50kmE285N185",16.3666397094727
"2005","50kmE290N185",16.4335444132487
"2005","50kmE295N185",16.1200271606446
"2005","50kmE300N185",16.2587804158529
"2005","50kmE305N185",15.7244074503581
"2005","50kmE310N185",15.7001586914063
"2005","50kmE315N185",15.2674626668294
"2005","50kmE320N185",14.6358988444011
"2005","50kmE325N185",14.7591822306316
"2005","50kmE330N185",14.7233825683594
"2005","50kmE335N185",14.5950383504232
"2005","50kmE340N185",17.4659388224284
"2005","50kmE365N185",17.4941930135091
"2005","50kmE370N185",17.3787221272786
"2005","50kmE375N185",17.5742101033529
"2005","50kmE380N185",17.4320770263672
"2005","50kmE415N185",16.7569163004558
"2005","50kmE420N185",14.636371866862
"2005","50kmE425N185",13.2220219930013
"2005","50kmE480N185",13.8621815999349
"2005","50kmE485N185",14.9977305094401
"2005","50kmE490N185",17.516987101237
"2005","50kmE500N185",17.6425008138021
"2005","50kmE260N190",16.2404062906901
"2005","50kmE265N190",16.3527567545573
"2005","50kmE270N190",16.502811686198
"2005","50kmE275N190",16.3999013264974
"2005","50kmE280N190",16.5058914184571
"2005","50kmE285N190",17.1338541666667
"2005","50kmE290N190",16.5410680135091
"2005","50kmE295N190",16.3808151245117
"2005","50kmE300N190",16.1946197509766
"2005","50kmE305N190",14.9417180379232
"2005","50kmE310N190",14.2167907714844
"2005","50kmE315N190",15.2224543253581
"2005","50kmE320N190",14.6073165893555
"2005","50kmE325N190",13.7507263183594
"2005","50kmE330N190",13.1942586263021
"2005","50kmE335N190",12.9856938680013
"2005","50kmE340N190",15.2327845255534
"2005","50kmE345N190",17.2768697102865
"2005","50kmE370N190",17.5877243041992
"2005","50kmE375N190",17.4043111165365
"2005","50kmE380N190",17.2407928466797
"2005","50kmE415N190",16.3730738321941
"2005","50kmE420N190",13.6959040323894
"2005","50kmE425N190",14.2824544270833
"2005","50kmE430N190",17.0409891764323
"2005","50kmE470N190",17.2133219401042
"2005","50kmE475N190",13.2187235514323
"2005","50kmE480N190",11.0262847900391
"2005","50kmE485N190",15.276383972168
"2005","50kmE490N190",17.2547927856446
"2005","50kmE495N190",17.3422866821289
"2005","50kmE500N190",16.9502553304036
"2005","50kmE260N195",15.9103129069011
"2005","50kmE265N195",15.8933069864909
"2005","50kmE270N195",16.5375864664714
"2005","50kmE275N195",16.3813746134441
"2005","50kmE280N195",15.7676584879558
"2005","50kmE285N195",16.2737289428711
"2005","50kmE290N195",16.2197891235352
"2005","50kmE295N195",15.4382873535156
"2005","50kmE300N195",15.0937744140625
"2005","50kmE305N195",14.5111557006836
"2005","50kmE310N195",14.9070246378581
"2005","50kmE315N195",15.0207611083985
"2005","50kmE320N195",14.1543543497722
"2005","50kmE325N195",12.8013219197591
"2005","50kmE330N195",10.34302927653
"2005","50kmE335N195",11.2566111246745
"2005","50kmE340N195",10.4544896443685
"2005","50kmE345N195",14.5655583699544
"2005","50kmE350N195",17.2037521362305
"2005","50kmE415N195",16.777121480306
"2005","50kmE420N195",15.0290669759115
"2005","50kmE425N195",15.2687215169271
"2005","50kmE430N195",16.8513147989909
"2005","50kmE460N195",17.2504618326823
"2005","50kmE465N195",16.5875310262044
"2005","50kmE470N195",14.2729303995769
"2005","50kmE475N195",12.140023803711
"2005","50kmE480N195",12.164816792806
"2005","50kmE485N195",14.7059951782227
"2005","50kmE490N195",15.6392303466797
"2005","50kmE495N195",16.4721084594727
"2005","50kmE500N195",17.1118560791016
"2005","50kmE265N200",15.8247543334961
"2005","50kmE270N200",15.382585144043
"2005","50kmE275N200",15.5231363932292
"2005","50kmE280N200",15.9665873209636
"2005","50kmE285N200",16.1644683837891
"2005","50kmE290N200",16.1325597127279
"2005","50kmE295N200",14.5520441691081
"2005","50kmE300N200",13.279557800293
"2005","50kmE305N200",13.8520751953125
"2005","50kmE310N200",14.6121332804362
"2005","50kmE315N200",14.7316045125326
"2005","50kmE320N200",13.7736195882161
"2005","50kmE325N200",12.5605763753255
"2005","50kmE330N200",9.88228759765627
"2005","50kmE335N200",11.0963989257813
"2005","50kmE340N200",11.5820912679036
"2005","50kmE345N200",13.5406229654948
"2005","50kmE350N200",15.3827936808269
"2005","50kmE355N200",16.5988606770833
"2005","50kmE360N200",16.7762771606446
"2005","50kmE415N200",16.8408981323242
"2005","50kmE420N200",16.5054997762044
"2005","50kmE425N200",16.659814453125
"2005","50kmE450N200",17.0705352783203
"2005","50kmE455N200",16.3413558959961
"2005","50kmE460N200",15.2016413370769
"2005","50kmE465N200",13.8371012369792
"2005","50kmE470N200",12.8820027669271
"2005","50kmE475N200",13.5980621337891
"2005","50kmE480N200",15.3080815633138
"2005","50kmE485N200",15.5462407430013
"2005","50kmE490N200",16.4846842447917
"2005","50kmE495N200",16.96669921875
"2005","50kmE265N205",15.6952402750651
"2005","50kmE270N205",15.2283899943034
"2005","50kmE275N205",14.3774047851563
"2005","50kmE280N205",13.3164306640625
"2005","50kmE285N205",13.7589380900066
"2005","50kmE290N205",13.2930440266927
"2005","50kmE295N205",12.2907196044922
"2005","50kmE300N205",10.743803914388
"2005","50kmE305N205",10.883426920573
"2005","50kmE310N205",11.0232991536458
"2005","50kmE315N205",11.8872212727865
"2005","50kmE320N205",12.6806096394857
"2005","50kmE325N205",11.7092274983724
"2005","50kmE330N205",11.6807647705078
"2005","50kmE335N205",12.0635365804036
"2005","50kmE340N205",14.5417292277019
"2005","50kmE345N205",16.0289474487305
"2005","50kmE350N205",15.3882588704427
"2005","50kmE355N205",13.9956120808919
"2005","50kmE360N205",14.1174407958985
"2005","50kmE365N205",15.2711018880208
"2005","50kmE370N205",16.1176162719727
"2005","50kmE420N205",14.5753290812175
"2005","50kmE425N205",15.3062403361003
"2005","50kmE445N205",16.726708984375
"2005","50kmE450N205",15.8120030721029
"2005","50kmE455N205",12.6303370157878
"2005","50kmE460N205",10.3037175496419
"2005","50kmE465N205",9.87721913655599
"2005","50kmE470N205",13.1067850748698
"2005","50kmE475N205",15.6162480672201
"2005","50kmE480N205",15.9899383544922
"2005","50kmE270N210",15.3549362182617
"2005","50kmE275N210",14.7834131876628
"2005","50kmE280N210",13.6601399739583
"2005","50kmE285N210",13.1319061279297
