"cellcode","bio1","bio10","bio12","bio15","bio4"
"50kmE445N150",18.6448287963867,24.6259460449219,549.774536132812,70.6953735351562,434.451599121094
"50kmE450N150",18.6174755096436,24.4952697753906,523.146179199219,72.7775726318359,428.392578125
"50kmE470N150",18.3928890228271,24.4469776153564,537.045776367188,81.2632827758789,447.922271728516
"50kmE475N150",18.5677719116211,24.8782367706299,546.412780761719,76.9504928588867,465.107330322266
"50kmE285N155",17.9922561645508,22.6683616638184,695.666625976562,76.423225402832,340.258056640625
"50kmE290N155",17.6313896179199,22.4480400085449,700.952392578125,76.3986587524414,349.025329589844
"50kmE460N155",18.0822792053223,24.3291091918945,559.692749023438,72.7703399658203,468.634429931641
"50kmE465N155",17.3011856079102,24.2529525756836,504.752319335938,66.9050598144531,527.457336425781
"50kmE470N155",16.5765171051025,23.9915637969971,594.279602050781,66.8794403076172,561.2978515625
"50kmE475N155",17.3865699768066,24.8388729095459,624.102844238281,70.0468063354492,555.699584960938
"50kmE635N155",20.0741329193115,25.978702545166,457.454040527344,102.533432006836,450.19287109375
"50kmE640N155",20.2835884094238,26.27366065979,518.319946289062,107.81428527832,457.107391357422
"50kmE285N160",17.9947757720947,23.2776336669922,681.505432128906,75.7945861816406,387.906036376953
"50kmE290N160",17.1298160552979,23.5268859863281,1013.75579833984,75.9375,468.925537109375
"50kmE295N160",16.5204105377197,22.4007720947266,824.220153808594,75.3075103759766,428.225738525391
"50kmE300N160",17.7355442047119,23.2379112243652,565.454467773438,70.9422454833984,402.581756591797
"50kmE305N160",17.2606430053711,22.83762550354,496.028350830078,68.9233474731445,401.410278320312
"50kmE310N160",16.6109046936035,23.0013637542725,476.651214599609,65.7920303344727,463.030120849609
"50kmE315N160",16.5500049591064,23.4795894622803,404.380859375,58.9388618469238,504.471588134766
"50kmE320N160",18.01975440979,24.8805065155029,282.286010742188,52.3356437683105,506.7763671875
"50kmE325N160",18.4691619873047,24.2810363769531,264.012573242188,54.3365936279297,420.75634765625
"50kmE450N160",18.3172245025635,24.4401397705078,526.013305664062,67.656005859375,447.190216064453
"50kmE455N160",17.6595802307129,24.4857406616211,639.38037109375,64.3795547485352,511.241271972656
"50kmE460N160",15.5220994949341,23.0906734466553,703.560302734375,56.1987113952637,574.198303222656
"50kmE465N160",14.9409675598145,22.8354339599609,592.434509277344,50.1139602661133,598.230773925781
"50kmE470N160",15.5166339874268,23.5614757537842,578.206726074219,52.7843589782715,607.615600585938
"50kmE475N160",16.6517086029053,24.0685291290283,714.980651855469,63.0742721557617,555.578430175781
"50kmE630N160",19.8821887969971,25.8736972808838,499.290924072266,99.4479751586914,452.804656982422
"50kmE635N160",17.8900585174561,25.3082008361816,708.908630371094,91.5327835083008,574.677612304688
"50kmE640N160",18.490421295166,26.4204006195068,514.755554199219,89.9491424560547,614.973815917969
"50kmE645N160",20.1874008178711,26.3891429901123,424.985412597656,106.092781066895,473.758148193359
"50kmE285N165",18.518648147583,25.1901340484619,598.961669921875,71.9790344238281,503.631103515625
"50kmE290N165",17.6682987213135,25.0725231170654,1038.09899902344,71.7145233154297,553.11962890625
"50kmE295N165",15.7861471176147,23.4297561645508,770.836547851562,67.4978713989258,564.060119628906
"50kmE300N165",15.7844705581665,23.4110736846924,593.960693359375,62.4182052612305,565.125549316406
"50kmE305N165",14.5394487380981,22.8568706512451,593.924438476562,60.0588645935059,611.87744140625
"50kmE310N165",12.192328453064,21.1418190002441,625.157836914062,52.7626647949219,652.323852539062
"50kmE315N165",12.6106786727905,21.6608695983887,492.210601806641,45.1225738525391,657.543701171875
"50kmE320N165",14.2829360961914,22.5742263793945,410.678558349609,42.4105072021484,607.519348144531
"50kmE325N165",17.2568244934082,24.2847919464111,286.197814941406,43.5207710266113,522.327514648438
"50kmE330N165",18.0108680725098,24.0819644927979,264.724243164062,49.1703758239746,441.918914794922
"50kmE335N165",18.299015045166,24.1504516601562,305.747802734375,53.5514831542969,417.829925537109
"50kmE450N165",18.3042888641357,24.5671310424805,561.495056152344,65.2480239868164,457.623565673828
"50kmE455N165",18.0752010345459,25.3069496154785,675.017883300781,59.6541061401367,545.061950683594
"50kmE460N165",17.1623229980469,24.1446647644043,758.747863769531,56.7507209777832,523.645874023438
"50kmE465N165",17.2045555114746,23.8547019958496,676.826599121094,55.481330871582,498.613555908203
"50kmE470N165",15.7870903015137,22.7589435577393,759.325805664062,50.3978652954102,527.960632324219
"50kmE475N165",15.4011259078979,22.4879112243652,846.829528808594,50.9695205688477,536.974487304688
"50kmE480N165",16.5964698791504,23.5832862854004,751.53125,58.5639991760254,525.340026855469
"50kmE485N165",18.122766494751,24.8290271759033,652.0380859375,68.6863708496094,497.598083496094
"50kmE635N165",20.0472297668457,26.7601833343506,593.738830566406,96.9406509399414,511.809814453125
"50kmE640N165",19.7910842895508,28.1091899871826,452.453826904297,84.3056869506836,642.390380859375
"50kmE645N165",20.3636569976807,27.707799911499,370.756500244141,93.2226715087891,565.942443847656
"50kmE650N165",20.2373466491699,26.277250289917,434.21142578125,108.511085510254,459.725708007812
"50kmE270N170",17.5958690643311,21.8939952850342,635.758056640625,82.8344039916992,315.009735107422
"50kmE275N170",17.9863910675049,23.0101528167725,560.475952148438,78.183967590332,371.308532714844
"50kmE280N170",18.1935405731201,24.1504516601562,592.525329589844,72.16015625,445.774475097656
"50kmE285N170",18.5267448425293,25.8264274597168,627.666809082031,69.3759841918945,553.597717285156
"50kmE290N170",18.7088088989258,26.5532665252686,645.873962402344,68.1076812744141,592.3056640625
