"year","cellcode","temp_mean"
"1990","50kmE445N150",19.1225016276042
"1990","50kmE450N150",19.0909769694011
"1990","50kmE470N150",18.7581090291341
"1990","50kmE475N150",18.9183110555013
"1990","50kmE285N155",18.3045923868816
"1990","50kmE290N155",17.9577219645183
"1990","50kmE460N155",18.5004567464193
"1990","50kmE465N155",17.5364318847656
"1990","50kmE470N155",16.7517842610677
"1990","50kmE475N155",17.6009536743164
"1990","50kmE635N155",19.8980575561524
"1990","50kmE640N155",20.1091222127279
"1990","50kmE285N160",18.2784337361654
"1990","50kmE290N160",17.3980219523112
"1990","50kmE295N160",16.8311452229818
"1990","50kmE300N160",18.0301350911458
"1990","50kmE305N160",17.6555699666341
"1990","50kmE310N160",16.9724085489909
"1990","50kmE315N160",16.8132415771485
"1990","50kmE320N160",18.2059799194336
"1990","50kmE325N160",18.7574350992839
"1990","50kmE450N160",18.7129989624024
"1990","50kmE455N160",17.93349609375
"1990","50kmE460N160",15.6482838948568
"1990","50kmE465N160",15.0332580566406
"1990","50kmE470N160",15.6383656819661
"1990","50kmE475N160",16.8776260375977
"1990","50kmE630N160",19.7065572102865
"1990","50kmE635N160",17.7651458740235
"1990","50kmE640N160",18.3522532145183
"1990","50kmE645N160",19.960819498698
"1990","50kmE285N165",18.6598271687826
"1990","50kmE290N165",17.8032775878906
"1990","50kmE295N165",15.9543955485026
"1990","50kmE300N165",15.9732172648112
"1990","50kmE305N165",14.7968892415365
"1990","50kmE310N165",12.3995325724284
"1990","50kmE315N165",12.5680328369141
"1990","50kmE320N165",14.1472462972005
"1990","50kmE325N165",17.3045135498047
"1990","50kmE330N165",18.243674214681
"1990","50kmE335N165",18.5989954630534
"1990","50kmE450N165",18.6641708374024
"1990","50kmE455N165",18.2058349609375
"1990","50kmE460N165",17.3680206298828
"1990","50kmE465N165",17.443859354655
"1990","50kmE470N165",16.0100087483724
"1990","50kmE475N165",15.6121383666992
"1990","50kmE480N165",16.8861251831055
"1990","50kmE485N165",18.40126953125
"1990","50kmE635N165",19.9229955037435
"1990","50kmE640N165",19.651389058431
"1990","50kmE645N165",20.1331141153972
"1990","50kmE650N165",19.950591023763
"1990","50kmE270N170",17.8363611857097
"1990","50kmE275N170",18.1492350260417
"1990","50kmE280N170",18.3446568806966
"1990","50kmE285N170",18.6146916707357
"1990","50kmE290N170",18.7092351277669
"1990","50kmE295N170",18.2889216105144
"1990","50kmE300N170",17.4615442911784
"1990","50kmE305N170",15.4993810017904
"1990","50kmE310N170",14.3265930175781
"1990","50kmE315N170",14.3204030354818
"1990","50kmE320N170",12.5176508585612
"1990","50kmE325N170",14.6049743652344
"1990","50kmE330N170",17.2816940307617
